"dataset","model","sampling","balanced_acc","balanced_acc_sd","roc","roc_sd","sens_cv","spec_cv","ppv_cv","npv_cv","optimal_threshold","sens_at_optimal","spec_at_optimal","brier_score","alpha","lambda","n.trees","interaction.depth","shrinkage","n.minobsinnode","nrounds","max_depth","eta","gamma","colsample_bytree","min_child_weight","subsample","sigma","C","mtry"
"data_30","glmnet","rose",0.921513229050898,0.0410710148459705,0.974108486840144,0.0255857193451052,0.917261904761905,0.925764553339891,0.30558274889614,0.99696632041769,0.433461403483,0.934121355397951,0.91324200913242,0.842035697197627,0.25,0.00112883789168469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","gbm","none",0.762769967595372,0.0966611075276668,0.967133933627998,0.0348939273544843,0.53452380952381,0.991016125666935,0.739107744107744,0.984088110859002,0.00111196449368882,0.88274231678487,0.936073059360731,0.0196108128935224,NA,NA,300,5,0.05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","gbm","up",0.894625930941097,0.07079230056601,0.972494562856887,0.0223698327694545,0.84047619047619,0.948775671406003,0.372415421237403,0.9942470626708,0.279487717318215,0.921985815602837,0.91324200913242,0.0393575890955593,NA,NA,100,3,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","gbm","down",0.917147998875845,0.0441044596728377,0.963096329249754,0.0268692104435762,0.939285714285714,0.895010283465975,0.247112834584857,0.997709452406386,0.534540376788855,0.89866036249015,0.940639269406393,0.0833540634808018,NA,NA,200,3,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","gbm","smote",0.888832619026328,0.0733218130134985,0.970802208816103,0.0187322800674295,0.823214285714286,0.954450952338371,0.397984274497432,0.993624821401731,0.232377258803442,0.915208825847124,0.917808219178082,0.0366325315782445,NA,NA,100,3,0.05,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","gbm","rose",0.507569525172136,0.00483703275065671,0.959559292005723,0.0371009700493412,1,0.0151390503442726,0.0338587575780294,1,0.990017108787993,0.883057525610717,0.940639269406393,0.883785143013744,NA,NA,100,7,0.05,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"data_30","xgbTree","none",0.711001844849538,0.0882897299186736,0.96544656962311,0.0351367203137444,0.430357142857143,0.991646546841933,0.707592592592592,0.980560580205699,0.0123025951907039,0.900394011032309,0.926940639269406,0.0209166212167669,NA,NA,NA,NA,NA,NA,200,4,0.05,0,0.8,5,1,NA,NA,NA
"data_30","xgbTree","up",0.859871754746788,0.101254273000465,0.966917512444484,0.0327528307697987,0.75,0.969743509493577,0.482810990752167,0.99120023897491,0.070900421589613,0.910323089046493,0.917808219178082,0.028400734565971,NA,NA,NA,NA,NA,NA,100,4,0.05,0,0.8,5,0.8,NA,NA,NA
"data_30","xgbTree","down",0.906480100535251,0.0369204495070386,0.964956548098091,0.0213961147253578,0.922023809523809,0.890936391546693,0.231389928253538,0.997028632325536,0.473172724246979,0.885263987391647,0.931506849315068,0.0777548564825539,NA,NA,NA,NA,NA,NA,100,6,0.05,0,0.8,5,0.8,NA,NA,NA
"data_30","xgbTree","smote",0.846224339239407,0.106295119231602,0.965033288196795,0.0326813290663198,0.723809523809524,0.96863915466929,0.458512788953965,0.990230033935492,0.0477094203233719,0.885894405043341,0.931506849315068,0.0293193796303755,NA,NA,NA,NA,NA,NA,100,4,0.05,0,0.8,5,0.8,NA,NA,NA
