bbrefID,mlbamID,name,team,pos,headshot_url,is_active
youngda02,664849,Danny Young,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/664849/headshot/67/current",True
hernada03,678226,Daysbel Hernández,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/678226/headshot/67/current",True
fuentdi01,800311,Didier Fuentes,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/800311/headshot/67/current",True
baldwdr01,686948,Drake Baldwin,Atlanta Braves,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/686948/headshot/67/current",True
dodddy01,689266,Dylan Dodd,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/689266/headshot/67/current",True
leedy01,669276,Dylan Lee,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/669276/headshot/67/current",True
whiteel04,642201,Eli White,Atlanta Braves,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/642201/headshot/67/current",True
holmegr01,656550,Grant Holmes,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/656550/headshot/67/current",True
kimha01,673490,Ha-Seong Kim,Atlanta Braves,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/673490/headshot/67/current",True
harriha01,802686,Hayden Harris,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/802686/headshot/67/current",True
strathu01,676702,Hunter Stratton,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/676702/headshot/67/current",True
waldrhu01,694462,Hurston Waldrep,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694462/headshot/67/current",True
,702910,Jhancarlos Lara,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/702910/headshot/67/current",True
jimenjo02,641729,Joe Jiménez,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/641729/headshot/67/current",True
payamjo01,606303,Joel Payamps,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/606303/headshot/67/current",True
wentzjo01,666214,Joey Wentz,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666214/headshot/67/current",True
suarejo01,660761,José Suarez,Atlanta Braves,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/660761/headshot/67/current",True
profaju01,595777,Jurickson Profar,Atlanta Braves,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/595777/headshot/67/current",True
olsonma02,621566,Matt Olson,Atlanta Braves,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/621566/headshot/67/current",True
dubonma01,643289,Mauricio Dubón,Atlanta Braves,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/643289/headshot/67/current",True
harrimi04,671739,Michael Harris II,Atlanta Braves,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671739/headshot/67/current",True
yastrmi01,573262,Mike Yastrzemski,Atlanta Braves,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/573262/headshot/67/current",True
alvarna01,805373,Nacho Alvarez Jr.,Atlanta Braves,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/805373/headshot/67/current",True
albieoz01,645277,Ozzie Albies,Atlanta Braves,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/645277/headshot/67/current",True
