bbrefID,mlbamID,name,team,pos,headshot_url
,695490,Edwin Arroyo,Cincinnati Reds,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695490/headshot/67/current"
delacel01,682829,Elly De La Cruz,Cincinnati Reds,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682829/headshot/67/current"
paganem01,641941,Emilio Pagán,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/641941/headshot/67/current"
luxga01,666158,Gavin Lux,Cincinnati Reds,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666158/headshot/67/current"
ashcrgr01,668933,Graham Ashcraft,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/668933/headshot/67/current"
greenhu01,668881,Hunter Greene,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/668881/headshot/67/current"
,699302,Héctor Rodríguez,Cincinnati Reds,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/699302/headshot/67/current"
,683742,Jose Franco,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683742/headshot/67/current"
trevijo01,624431,Jose Trevino,Cincinnati Reds,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/624431/headshot/67/current"
aguiaju01,687924,Julian Aguiar,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/687924/headshot/67/current"
hayeske01,663647,Ke'Bryan Hayes,Cincinnati Reds,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663647/headshot/67/current"
thompke02,624522,Keegan Thompson,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/624522/headshot/67/current"
,699114,Leo Balcazar,Cincinnati Reds,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/699114/headshot/67/current"
meylu01,682825,Luis Mey,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682825/headshot/67/current"
richaly01,680689,Lyon Richardson,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680689/headshot/67/current"
mclaima01,680574,Matt McLain,Cincinnati Reds,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680574/headshot/67/current"
lodolni01,666157,Nick Lodolo,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666157/headshot/67/current"
marteno01,682622,Noelvi Marte,Cincinnati Reds,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682622/headshot/67/current"
hindsre01,677956,Rece Hinds,Cincinnati Reds,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/677956/headshot/67/current"
lowderh01,695076,Rhett Lowder,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/695076/headshot/67/current"
stewasa02,701398,Sal Stewart,Cincinnati Reds,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/701398/headshot/67/current"
mollsa01,594580,Sam Moll,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/594580/headshot/67/current"
steersp01,668715,Spencer Steer,Cincinnati Reds,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/668715/headshot/67/current"
friedtj01,670770,TJ Friedl,Cincinnati Reds,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/670770/headshot/67/current"
santito01,663574,Tony Santillan,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663574/headshot/67/current"
callity01,682997,Tyler Callihan,Cincinnati Reds,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682997/headshot/67/current"
stephty01,663886,Tyler Stephenson,Cincinnati Reds,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/663886/headshot/67/current"
bensowi01,666181,Will Benson,Cincinnati Reds,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666181/headshot/67/current"
zulueyo01,691172,Yosver Zulueta,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/691172/headshot/67/current"
maxweza01,687209,Zach Maxwell,Cincinnati Reds,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/687209/headshot/67/current"
waltean01,689958,Andrew Walters,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/689958/headshot/67/current"
,694197,Angel Genao,Cleveland Guardians,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/694197/headshot/67/current"
martian02,682657,Angel Martínez,Cleveland Guardians,CF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682657/headshot/67/current"
hedgeau01,595978,Austin Hedges,Cleveland Guardians,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/595978/headshot/67/current"
,804926,Austin Peterson,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/804926/headshot/67/current"
naylobo01,666310,Bo Naylor,Cleveland Guardians,C,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/666310/headshot/67/current"
rocchbr01,677587,Brayan Rocchio,Cleveland Guardians,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/677587/headshot/67/current"
kayfucj01,692216,C.J. Kayfus,Cleveland Guardians,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/692216/headshot/67/current"
smithca06,671922,Cade Smith,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671922/headshot/67/current"
delauch01,800050,Chase DeLauter,Cleveland Guardians,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/800050/headshot/67/current"
holdeco01,670059,Colin Holderman,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/670059/headshot/67/current"
brogdco01,641401,Connor Brogdon,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/641401/headshot/67/current"
,682982,Daniel Espino,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682982/headshot/67/current"
schneda04,682177,Daniel Schneemann,Cleveland Guardians,2B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682177/headshot/67/current"
fryda01,681807,David Fry,Cleveland Guardians,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/681807/headshot/67/current"
nikhado01,680951,Doug Nikhazy,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680951/headshot/67/current"
sabroer01,681870,Erik Sabrowski,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/681870/headshot/67/current"
,680916,Franco Aleman,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/680916/headshot/67/current"
ariasga01,672356,Gabriel Arias,Cleveland Guardians,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/672356/headshot/67/current"
williga01,668909,Gavin Williams,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/668909/headshot/67/current"
valerge01,671655,George Valera,Cleveland Guardians,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671655/headshot/67/current"
gaddihu01,683769,Hunter Gaddis,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/683769/headshot/67/current"
noeljh01,678877,Jhonkensy Noel,Cleveland Guardians,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/678877/headshot/67/current"
cantijo01,676282,Joey Cantillo,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/676282/headshot/67/current"
rodrijo10,671286,Johnathan Rodríguez,Cleveland Guardians,RF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671286/headshot/67/current"
ramirjo01,608070,José Ramírez,Cleveland Guardians,3B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/608070/headshot/67/current"
,682877,Juan Brito,Cleveland Guardians,SS,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/682877/headshot/67/current"
,696135,Kahlil Watson,Cleveland Guardians,LF,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/696135/headshot/67/current"
manzaky01,700932,Kyle Manzardo,Cleveland Guardians,1B,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/700932/headshot/67/current"
allenlo02,671106,Logan Allen,Cleveland Guardians,P,"https://img.mlbstatic.com/mlb-photos/image/upload/w_213,d_people:generic:headshot:silo:current.png,q_auto:best,f_auto/v1/people/671106/headshot/67/current"
